policy,arrival_rate_rps,on_time_ratio_mean,on_time_ratio_std,goodput_req_s_mean,goodput_req_s_std,goodput_tok_s_mean,goodput_tok_s_std,latency_p90_ms_mean,latency_p90_ms_std
single->request,6.0,0.9985610797054626,0.002791019287814464,5.978194444444444,0.1708926613331622,765.2088888888889,21.87426065064476,213.73453619351602,12.251556808145576
single->request,7.0,0.9941290563989273,0.006951618617379083,6.985324074074073,0.19305428434611227,894.1214814814814,24.71094839630237,252.5938671748965,20.905493035641356
single->request,8.0,0.9841515763583736,0.009895680847895471,7.860555555555555,0.1928991506060272,1006.151111111111,24.69109127757148,310.3611234918,25.694208118766092
single->request,9.0,0.9446059482504884,0.026278246083528342,8.494166666666667,0.23086976581058005,1087.2533333333333,29.551330023754247,414.07417891937246,50.78037672456729
single->request,10.0,0.8329417000655098,0.05696589953619804,8.328888888888889,0.47382657746732953,1066.0977777777778,60.64980191581818,634.3801220391099,132.56364950334233
single->request,11.0,0.5809440127953259,0.11458381579218288,6.366990740740742,1.1525643032669783,814.974814814815,147.52823081817323,1198.6180735981238,385.22071899504397
single->request,12.0,0.13419599697369886,0.11169590464743542,1.5842592592592595,1.2846244373863964,202.7851851851852,164.43192798545874,4599.99229567664,2457.814894550674
single->request,13.0,0.027769980890655573,0.023426217342067072,0.35842592592592587,0.29668433791638443,45.87851851851851,37.97559525329721,15471.223481012914,3485.2208803944013
single->request,14.0,0.013626581017499867,0.009157206955927248,0.19037037037037038,0.1265596797472359,24.36740740740741,16.199639007646194,29096.864714572017,3852.95891718175
single->request,15.0,0.010398026042542387,0.006133682338926601,0.15597222222222223,0.09117196054099577,19.964444444444446,11.670010949247459,42996.3541308801,4244.518687216932
single->request,16.0,0.006922867356383066,0.003705065278450841,0.11046296296296297,0.05858053148794531,14.13925925925926,7.498308030456999,55897.848619968616,3602.1126867401204
single->single,6.0,0.9593609014930276,0.02200347848298283,5.761990740740741,0.16875847156503201,737.5348148148148,21.601084360324098,383.3001936896388,43.48235189065961
single->single,7.0,0.8712873733129173,0.04101667980626485,6.098981481481482,0.22872542631880435,780.6696296296296,29.276854568806957,559.4575587174302,92.44098915845962
single->single,8.0,0.659170534385913,0.0872900849879749,5.2400925925925925,0.5986641436220399,670.7318518518518,76.62901038362111,1021.7585364509301,291.1657845632705
single->single,9.0,0.2239681863523608,0.12150955087523659,1.9941666666666669,1.0450935852122776,255.25333333333336,133.77197890717153,3244.881726573762,1437.5043389436532
single->single,10.0,0.026126330958332847,0.023837829196893742,0.25953703703703707,0.2344233614942549,33.220740740740744,30.00619027126463,15204.435524660481,3785.9237065384846
single->single,11.0,0.011898155371302859,0.007641864614309731,0.13120370370370374,0.08324743515288388,16.79407407407408,10.655671699569137,33556.54509930333,4523.3151057660225
single->single,12.0,0.007235004666201648,0.004104309372676437,0.08689814814814815,0.0493830029891355,11.122962962962964,6.321024382609344,49948.933073918735,4093.4565373770106
single->single,13.0,0.005901092167067331,0.003605208294530575,0.07652777777777778,0.04651685886252654,9.795555555555556,5.954157934403397,67484.93132212941,4983.183956215228
single->single,14.0,0.004457420978901584,0.0018486927052732325,0.0623611111111111,0.02554410472121171,7.982222222222221,3.269645404315099,85420.01170700025,5291.843223012236
single->single,15.0,0.003746749314304963,0.0015472075642028033,0.056203703703703714,0.02309827961693257,7.194074074074075,2.956579790967369,102708.8862100079,4965.887161470104
single->single,16.0,0.003284386966726698,0.0014249774339557548,0.05236111111111111,0.022333776713859364,6.702222222222222,2.8587234193739985,120036.06563558755,5348.282625632019
