setup,context_len,num_experts,top_k,routing_skew,slo_ms,max_tested_concurrency,max_feasible_concurrency,best_throughput_tokens_per_s,best_concurrency,best_latency_ms_p90,has_feasible
dual_die_moe_locality,2048,8,2,0.0,250.0,24,0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,1.8,250.0,24,0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,0.0,250.0,24,0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,1.8,250.0,24,0,0.0,0,0.0,False
dual_die_moe_locality,8192,8,2,0.0,250.0,16,0,0.0,0,0.0,False
dual_die_moe_locality,8192,8,2,1.8,250.0,16,0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,0.0,250.0,24,0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,1.8,250.0,24,0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,0.0,250.0,24,0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,1.8,250.0,24,0,0.0,0,0.0,False
dual_die_moe_naive,8192,8,2,0.0,250.0,16,0,0.0,0,0.0,False
dual_die_moe_naive,8192,8,2,1.8,250.0,16,0,0.0,0,0.0,False
single_die,2048,8,2,0.0,250.0,24,0,0.0,0,0.0,False
single_die,2048,8,2,1.8,250.0,24,0,0.0,0,0.0,False
single_die,4096,8,2,0.0,250.0,24,0,0.0,0,0.0,False
single_die,4096,8,2,1.8,250.0,24,0,0.0,0,0.0,False
single_die,8192,8,2,0.0,250.0,16,0,0.0,0,0.0,False
single_die,8192,8,2,1.8,250.0,16,0,0.0,0,0.0,False
